City,Estimate
GreenBay,500
GreenBay,148
GreenBay,170
GreenBay,250
GreenBay,500
GreenBay,400
GreenBay,50
GreenBay,200
GreenBay,150
GreenBay,80
GreenBay,50
GreenBay,76
GreenBay,800
GreenBay,138
GreenBay,2000
GreenBay,110
GreenBay,60
GreenBay,240
GreenBay,650
GreenBay,175
GreenBay,20
GreenBay,800
GreenBay,85
GreenBay,20
GreenBay,200
GreenBay,150
GreenBay,70
GreenBay,80
GreenBay,100
GreenBay,200
GreenBay,130
GreenBay,450
GreenBay,100
GreenBay,75
Chicago,1700
Chicago,102
Chicago,300
Chicago,1000
Chicago,2500
Chicago,3500
Chicago,2000
Chicago,2700
Chicago,2000
Chicago,1200
Chicago,1600
Chicago,1500
Chicago,400
Chicago,750
Chicago,800
Chicago,2000
Chicago,1200
Chicago,2200
Chicago,1500
Chicago,100
Chicago,1500
Chicago,2000
Chicago,1500
Chicago,1200
Chicago,1800
Chicago,900
Chicago,50
Chicago,400
Chicago,980
Chicago,2250
Chicago,1300
Chicago,1800
Chicago,1000
Chicago,1500
Chicago,275
